trade_id,activation_rr,side,entry_time,entry_price,activation_time,activation_price,peak_price,exit_time,exit_price,exit_reason,pnl
64,1.5,long,2025-12-09T18:05:00+00:00,142.226,,146.2154393,142.226,2025-12-09T20:55:00+00:00,139.5663738,TSL,-17.8
65,1.5,short,2025-12-09T20:55:00+00:00,140.061,2025-12-10T15:35:00+00:00,136.13228895,135.551,2025-12-10T15:35:00+00:00,136.39141619999998,TSL,23.987067911242978
66,1.5,long,2025-12-10T19:00:00+00:00,137.246,2025-12-10T20:10:00+00:00,141.09575030000002,141.717,2025-12-10T20:10:00+00:00,140.8383546,TSL,23.962956667605127
67,1.5,long,2025-12-10T20:50:00+00:00,137.913,,141.78145965000002,137.913,2025-12-10T22:15:00+00:00,135.3340269,TSL,-17.8
68,1.5,short,2025-12-10T23:50:00+00:00,136.319,2025-12-11T02:00:00+00:00,132.49525204999998,131.126,2025-12-11T02:15:00+00:00,131.9389812,TSL,29.632388468491982
69,1.5,short,2025-12-11T02:30:00+00:00,131.152,,127.47318639999999,131.152,2025-12-11T18:15:00+00:00,133.60454239999999,TSL,-17.8
70,1.5,long,2025-12-11T19:50:00+00:00,134.04,2025-12-12T02:10:00+00:00,137.799822,137.918,2025-12-12T02:10:00+00:00,137.0629084,TSL,20.51501009356305
71,1.5,long,2025-12-12T05:35:00+00:00,137.228,,141.0772454,137.228,2025-12-12T15:35:00+00:00,134.6618364,TSL,-17.8
72,1.5,short,2025-12-12T17:00:00+00:00,132.347,2025-12-14T23:30:00+00:00,128.63466665,127.872,2025-12-14T23:30:00+00:00,128.6648064,TSL,25.53135596511018
73,1.5,long,2025-12-15T02:40:00+00:00,131.953,,135.65428165,131.953,2025-12-15T15:00:00+00:00,129.4854789,TSL,-17.8
74,1.5,short,2025-12-15T16:05:00+00:00,127.246,2025-12-15T18:35:00+00:00,123.67674969999999,123.554,2025-12-15T18:35:00+00:00,124.3200348,TSL,20.935993936877928
75,1.5,short,2025-12-15T18:40:00+00:00,124.363,,120.87461784999999,124.363,2025-12-15T23:00:00+00:00,126.6885881,TSL,-17.8
76,1.5,short,2025-12-16T08:05:00+00:00,126.012,,122.4773634,126.012,2025-12-16T10:45:00+00:00,128.3684244,TSL,-17.8
77,1.5,short,2025-12-16T14:10:00+00:00,127.579,,124.00040904999999,127.579,2025-12-16T15:55:00+00:00,129.9647273,TSL,-17.8
78,1.5,long,2025-12-16T16:35:00+00:00,128.099,2025-12-17T14:55:00+00:00,131.69217694999998,132.612,2025-12-17T14:55:00+00:00,131.7898056,TSL,26.473582443525473
79,1.5,long,2025-12-17T15:40:00+00:00,129.014,,132.6328427,129.014,2025-12-17T15:55:00+00:00,126.6014382,TSL,-17.8
